"Title";"Seed";"Leech";"Poidsdutorrent";"date";"Categories";"Genre";"Plot"
"Hawaii 5-0 S10E13 VOSTFR HDTV";"207";"23";"363.07MB";"14/01/2020";"Séries";"VOSTFR";"Le détective Steve McGarrett se rend à Oahu pour enquêter sur l'assassinat de son père. Une fois sur place, le gouverneur le persuade de rester et rejoindre l'unité des forces spéciales, qui combat le crime à Hawaï."
"Doctor Who S12E03 VOSTFR HDTV";"181";"14";"394.71MB";"14/01/2020";"Séries";"VOSTFR";"Extraterrestre de 900 ans, le Docteur est un aventurier qui voyage à travers le temps et l'espace à l'aide de son vaisseau, le TARDIS (Time And Relative Dimension In Space), qui, pour mieux s'adapter à l'environnement, a l'apparence d'une cabine téléphonique. Le Docteur voyage en compagnie d'une jeune fille. Ensemble, ils font de nombreuses rencontres sur les diverses planètes qu'ils explorent..."
"Les nouvelles aventures de Sabrina Saison 2 FRENCH HDTV";"121";"35";"2.96GB";"13/01/2020";"Séries";"VF";"Les nouvelles aventures de Sabrina imagine l’origine des aventures de Sabrina l’apprentie sorcière comme une sombre histoire axée sur le passage à l’âge adulte à travers l’horreur, les sciences occultes et bien sûr la sorcellerie. Sabrina lutte pour concilier sa double nature – mi-sorcière, mi-mortelle – tout en s’opposant aux forces du mal qui la menacent elle, sa famille et le monde des mortels."
"Les nouvelles aventures de Sabrina Saison 1 FRENCH HDTV";"149";"94";"3.84GB";"13/01/2020";"Séries";"VF";"Les nouvelles aventures de Sabrina imagine l’origine des aventures de Sabrina l’apprentie sorcière comme une sombre histoire axée sur le passage à l’âge adulte à travers l’horreur, les sciences occultes et bien sûr la sorcellerie. Sabrina lutte pour concilier sa double nature – mi-sorcière, mi-mortelle – tout en s’opposant aux forces du mal qui la menacent elle, sa famille et le monde des mortels."
"Sex Education Saison 1 FRENCH HDTV";"484";"341";"2.84GB";"13/01/2020";"Séries";"VF";"La rebelle Maeve entraîne Otis, un ado vierge mais doté d'une mère sexologue, dans la création d'une cellule de thérapie sexuelle clandestine au sein de leur lycée..."
"Shameless (US) S10E10 VOSTFR HDTV";"378";"33";"514.95MB";"13/01/2020";"Séries";"VOSTFR";"Pour les enfants Gallagher, la vie est tout sauf un long fleuve tranquille... Fiona, l'aînée, âgée de 20 ans, élève du mieux possible sa soeur et ses quatre frères. Leur mère, Monica, les a abandonnés pour refaire sa vie avec une femme. Quant à leur père, Frank, paumé, chômeur et alcoolique, il dilapide l'argent des allocations familiales... Remake de la série anglaise du même nom : Shameless."
"Mr. Inbetween S02E07 VOSTFR HDTV";"60";"13";"216.39MB";"13/01/2020";"Séries";"VOSTFR";"Bien occupé avec son business de collecte des dettes et le trafic de drogue et d'armes, Ray Shoesmith doit en plus jongler entre ses rôles d'ex-mari, de père, de petit ami et de meilleur ami."
"Ray Donovan S07E09 VOSTFR HDTV";"167";"16";"396.81MB";"13/01/2020";"Séries";"VOSTFR";"Un spécialiste des litiges les plus compliqués, controversés et confidentiels des familles les plus aisées de Los Angeles, a bien du mal à régler ses problèmes à lui, bien souvent d'ordre familial..."
"Un ami aux petits soins Saison 1 FRENCH HDTV";"96";"36";"1.6GB";"13/01/2020";"Séries";"VF";"Un jeune garçon de 11 ans souffrant de phobie sociale trouve le courage d'affronter l'entrée au collège auprès de Dude, un chien de soutien émotionnel."
"The Outpost Saison 2 FRENCH HDTV";"165";"122";"3.61GB";"13/01/2020";"Séries";"VF";"Talon, dernière survivante de la tribu des Blackbloods, traque l'homme qui a commandité la mort de sa famille. Des années après la destruction de son village, la jeune femme recherche le gang de mercenaires à l'origine de ce drame qui l'a laissé orpheline. Alors qu'elle voyage en marge du monde civilisé, sur les traces des tueurs, Talon découvre qu'elle possède un mystérieux pouvoir surnaturel qu'elle doit apprendre à contrôler, lequel lui sera d'une grande aide pour défendre le monde contre un dictateur religieux fanatique."
"Prison Break Saison 5 FRENCH HDTV";"220";"135";"3.08GB";"13/01/2020";"Séries";"VF";"Michael Scofield s'engage dans une véritable lutte contre la montre : son frère Lincoln est dans le couloir de la mort, en attente de son exécution. Persuadé de son innocence mais à court de solutions, Michael décide de se faire incarcérer à son tour dans le pénitencier d'état de Fox River pour organiser leur évasion..."
"Prison Break Saison 4 FRENCH HDTV";"141";"267";"8.32GB";"13/01/2020";"Séries";"VF";"Michael Scofield s'engage dans une véritable lutte contre la montre : son frère Lincoln est dans le couloir de la mort, en attente de son exécution. Persuadé de son innocence mais à court de solutions, Michael décide de se faire incarcérer à son tour dans le pénitencier d'état de Fox River pour organiser leur évasion..."
"Prison Break Saison 3 FRENCH HDTV";"181";"225";"4.45GB";"13/01/2020";"Séries";"VF";"Michael Scofield s'engage dans une véritable lutte contre la montre : son frère Lincoln est dans le couloir de la mort, en attente de son exécution. Persuadé de son innocence mais à court de solutions, Michael décide de se faire incarcérer à son tour dans le pénitencier d'état de Fox River pour organiser leur évasion..."
"Prison Break Saison 2 FRENCH HDTV";"162";"252";"7.53GB";"13/01/2020";"Séries";"VF";"Michael Scofield s'engage dans une véritable lutte contre la montre : son frère Lincoln est dans le couloir de la mort, en attente de son exécution. Persuadé de son innocence mais à court de solutions, Michael décide de se faire incarcérer à son tour dans le pénitencier d'état de Fox River pour organiser leur évasion..."
"Prison Break Saison 1 FRENCH HDTV";"220";"311";"8.38GB";"13/01/2020";"Séries";"VF";"Michael Scofield s'engage dans une véritable lutte contre la montre : son frère Lincoln est dans le couloir de la mort, en attente de son exécution. Persuadé de son innocence mais à court de solutions, Michael décide de se faire incarcérer à son tour dans le pénitencier d'état de Fox River pour organiser leur évasion..."
"Treadstone Saison 1 VOSTFR HDTV";"201";"81";"3.6GB";"13/01/2020";"Séries";"VOSTFR";"Une série prequel de la franchise Jason Bourne qui s'intéresse aux origines d'Opération Treadstone, le programme de conversion secret de la CIA qui a façonné Jason Bourne."
"Younger S06E06 FRENCH HDTV";"40";"3";"170.41MB";"13/01/2020";"Séries";"VF";"Une mère de famille du New Jersey, fraîchement célibataire, décide de mentir sur son âge afin de se donner plus de chances de retrouver du travail. Avec un peu de chance, et de maquillage, elle réussit à paraître vingt ans plus jeune..."
"Younger S06E05 FRENCH HDTV";"43";"3";"172.29MB";"13/01/2020";"Séries";"VF";"Une mère de famille du New Jersey, fraîchement célibataire, décide de mentir sur son âge afin de se donner plus de chances de retrouver du travail. Avec un peu de chance, et de maquillage, elle réussit à paraître vingt ans plus jeune..."
"Younger S06E04 FRENCH HDTV";"47";"3";"172.59MB";"13/01/2020";"Séries";"VF";"Une mère de famille du New Jersey, fraîchement célibataire, décide de mentir sur son âge afin de se donner plus de chances de retrouver du travail. Avec un peu de chance, et de maquillage, elle réussit à paraître vingt ans plus jeune..."
"Stumptown S01E10 VOSTFR HDTV";"89";"11";"362.19MB";"13/01/2020";"Séries";"VOSTFR";"Dex Parios, une vétérante de l'armée auto-destructrice, se reconvertit en détective privée dans sa ville natale de Portland. En tentant de résoudre les problèmes des autres, elle en oublie parfois de s'occuper d'elle et de ceux qui l'entourent.."
"The New Pope S01E02 FRENCH HDTV";"414";"60";"419.41MB";"13/01/2020";"Séries";"VF";"Pie XIII est dans le coma. Après un premier conclave tumultueux, Sir John Brannox, un aristocrate anglais modéré, charmant et sophistiqué, est placé sur le trôle papal. Ce nouveau pape parfait dissimule en fait des secrets et fait preuve d'une certaine fragilité."
